LAD20CD;Female_Population;Male_Population;Total_Population
E06000001;47539;45278;92817
E06000002;71086;69312;140398
E06000003;69637;65767;135404
E06000004;99620;96061;195681
E06000005;54261;51385;105646
E06000006;64945;61958;126903
E06000007;105121;103688;208809
E06000008;73616;73433;147049
E06000009;70440;68755;139195
E06000010;129410;130830;260240
E06000011;172013;165683;337696
E06000012;81035;78109;159144
E06000013;86210;84576;170786
E06000014;106205;102162;208367
E06000015;128980;127253;256233
E06000016;174369;173974;348343
E06000017;18862;19744;38606
E06000018;160814;164468;325282
E06000019;95578;93731;189309
E06000020;87074;85902;172976
E06000021;126830;126396;253226
E06000022;95119;92632;187751
E06000023;226766;227447;454213
E06000024;108619;103062;211681
E06000025;139764;137859;277623
E06000026;132655;131544;264199
E06000027;68960;64923;133883
E06000028;98031;99626;197657
E06000029;76970;74530;151500
E06000030;109254;108651;217905
E06000031;98300;98795;197095
E06000032;107012;109779;216791
E06000033;91772;88027;179799
E06000034;84651;82374;167025
E06000035;140280;138262;278542
E06000036;60147;59300;119447
E06000037;79202;77635;156837
E06000038;80595;82071;162666
E06000039;73068;74113;147181
E06000040;74943;73871;148814
E06000041;82152;79726;161878
E06000042;133532;130947;264479
E06000043;143778;145451;289229
E06000044;105305;109527;214832
E06000045;124396;129879;254275
E06000046;71478;68320;139798
E06000047;265448;256695;522143
E06000049;192109;184586;376695
E06000050;172004;163676;335680
E06000051;157832;155541;313373
E06000052;285023;268664;553687
E06000053;1124;1184;2308
E06000054;247164;241245;488409
E06000055;85309;83442;168751
E06000056;140856;138081;278937
E06000057;161822;154180;316002
E07000004;97566;95547;193113
E07000005;49012;46091;95103
E07000006;36013;33623;69636
E07000007;89766;87102;176868
E07000008;63211;68588;131799
E07000009;44593;43232;87825
E07000010;50643;49539;100182
E07000011;87920;87746;175666
E07000012;79110;77358;156468
E07000026;49127;47829;96956
E07000027;34111;33210;67321
E07000028;55451;52958;108409
E07000029;34437;34870;69307
E07000030;26586;26053;52639
E07000031;52598;50676;103274
E07000032;63432;61213;124645
E07000033;39530;38552;78082
E07000034;53210;51230;104440
