WeekEndDate,LTLA,Lineage,Count,day,lat,lon
2020-09-05,E06000001,B.1.177,1,1.0,54.67614,-1.27018
2020-09-05,E06000004,B.1.177,2,1.0,54.556911,-1.30664
2020-09-05,E06000005,B.1.177,1,1.0,54.535339,-1.56835
2020-09-05,E06000007,B.1.177,1,1.0,53.391628,-2.56167
2020-09-05,E06000015,B.1.177,1,1.0,52.914639,-1.47189
2020-09-05,E06000016,B.1.177,1,1.0,52.635921,-1.1304
2020-09-05,E06000022,B.1.177,1,1.0,51.356041,-2.48654
2020-09-05,E06000023,B.1.177,1,1.0,51.471149,-2.57742
2020-09-05,E06000024,B.1.177,5,1.0,51.39706,-2.75438
2020-09-05,E06000032,B.1.177,6,1.0,51.891022,-0.42319
2020-09-05,E06000034,B.1.177,3,1.0,51.509979,0.334861
2020-09-05,E06000036,B.1.177,1,1.0,51.411301,-0.73363
2020-09-05,E06000040,B.1.177,1,1.0,51.480339,-0.67541
2020-09-05,E06000043,B.1.177,3,1.0,50.8465,-0.15079
2020-09-05,E06000047,B.1.177,1,1.0,54.685131,-1.8405
2020-09-05,E06000050,B.1.177,1,1.0,53.163361,-2.70298
2020-09-05,E06000056,B.1.177,5,1.0,51.999031,-0.47754
2020-09-05,E06000057,B.1.177,2,1.0,55.300369,-2.07523
2020-09-05,E06000058,B.1.177,1,1.0,50.74609,-1.84807
2020-09-05,E07000008,B.1.177,1,1.0,52.200169,0.126436
2020-09-05,E07000062,B.1.177,1,1.0,50.867241,0.578395
2020-09-05,E07000063,B.1.177,1,1.0,50.833408,0.007671
2020-09-05,E07000065,B.1.177,1,1.0,50.93322,0.205156
2020-09-05,E07000067,B.1.177,1,1.0,51.91634,0.575911
2020-09-05,E07000071,B.1.177,2,1.0,51.877022,0.859777
2020-09-05,E07000072,B.1.177,2,1.0,51.712791,0.154147
2020-09-05,E07000079,B.1.177,1,1.0,51.772549,-1.97059
2020-09-05,E07000084,B.1.177,2,1.0,51.259369,-1.22021
2020-09-05,E07000089,B.1.177,1,1.0,51.281971,-0.88321
2020-09-05,E07000092,B.1.177,2,1.0,51.278149,-0.76807
2020-09-05,E07000095,B.1.177,1,1.0,51.720798,-0.05073
2020-09-05,E07000098,B.1.177,1,1.0,51.680168,-0.26899
2020-09-05,E07000106,B.1.177,3,1.0,51.281021,1.096342
2020-09-05,E07000111,B.1.177,1,1.0,51.275631,0.188936
2020-09-05,E07000112,B.1.177,1,1.0,51.072128,1.000795
2020-09-05,E07000114,B.1.177,1,1.0,51.35252,1.328226
2020-09-05,E07000120,B.1.177,1,1.0,53.756481,-2.38964
2020-09-05,E07000150,B.1.177,1,1.0,52.506969,-0.7069
