Var1,Var2,"unlist(ull[, 3])"
54.67614,-1.27018,E06000001
54.556911,-1.30664,E06000004
54.535339,-1.56835,E06000005
53.391628,-2.56167,E06000007
52.914639,-1.47189,E06000015
52.635921,-1.1304,E06000016
51.356041,-2.48654,E06000022
51.471149,-2.57742,E06000023
51.39706,-2.75438,E06000024
51.891022,-0.42319,E06000032
51.509979,0.334861,E06000034
51.411301,-0.73363,E06000036
51.480339,-0.67541,E06000040
50.8465,-0.15079,E06000043
54.685131,-1.8405,E06000047
53.163361,-2.70298,E06000050
51.999031,-0.47754,E06000056
55.300369,-2.07523,E06000057
50.74609,-1.84807,E06000058
52.200169,0.126436,E07000008
50.867241,0.578395,E07000062
50.833408,0.007671,E07000063
50.93322,0.205156,E07000065
51.91634,0.575911,E07000067
51.877022,0.859777,E07000071
51.712791,0.154147,E07000072
51.772549,-1.97059,E07000079
51.259369,-1.22021,E07000084
51.281971,-0.88321,E07000089
51.278149,-0.76807,E07000092
51.720798,-0.05073,E07000095
51.680168,-0.26899,E07000098
51.281021,1.096342,E07000106
51.275631,0.188936,E07000111
51.072128,1.000795,E07000112
51.35252,1.328226,E07000114
53.756481,-2.38964,E07000120
52.506969,-0.7069,E07000150
52.237751,-0.88121,E07000154
52.118439,-1.08129,E07000155
54.07708,-1.58161,E07000165
53.1096,-0.94643,E07000175
51.753571,-1.24405,E07000178
51.622879,-1.07847,E07000179
51.839901,-1.50292,E07000181
52.064499,0.916149,E07000200
51.360981,-0.39441,E07000207
51.253658,-0.56257,E07000209
51.258461,-0.19871,E07000211
51.41552,-0.46254,E07000213
51.336102,-0.68986,E07000214
51.15686,-0.62343,E07000216
51.308369,-0.57982,E07000217
52.500938,-1.47965,E07000219
51.123569,-0.19533,E07000226
51.00272,-0.38126,E07000227
51.059528,-0.10272,E07000228
50.833099,-0.40127,E07000229
51.77356,-0.3407,E07000240
53.593102,-2.3088,E08000002
53.470089,-2.23359,E08000003
53.437881,-2.83297,E08000011
53.408298,-2.91364,E08000012
53.458618,-2.7031,E08000013
53.374779,-3.06701,E08000015
53.52697,-1.10894,E08000017
55.021011,-1.65297,E08000021
55.028961,-1.50923,E08000022
54.969879,-1.44679,E08000023
54.857189,-1.43344,E08000024
52.484039,-1.88141,E08000025
53.720482,-1.96182,E08000033
53.822731,-1.50736,E08000035
51.545551,0.129479,E09000002
51.611069,-0.21819,E09000003
51.564381,-0.27568,E09000005
51.372662,0.039246,E09000006
51.543049,-0.16291,E09000007
51.365971,-0.07761,E09000008
51.524422,-0.3141,E09000009
51.648891,-0.08144,E09000010
51.487331,-0.21735,E09000013
51.594669,-0.33598,E09000015
51.565189,0.235368,E09000016
51.53664,-0.44182,E09000017
51.462379,-0.37855,E09000018
51.54546,-0.10989,E09000019
51.496479,-0.18977,E09000020
51.39296,-0.28367,E09000021
51.464451,-0.11385,E09000022
51.442299,-0.01734,E09000023
51.41058,-0.18868,E09000024
51.53149,0.027261,E09000025
51.58588,0.070085,E09000026
51.44035,-0.28914,E09000027
51.465939,-0.07308,E09000028
51.515541,-0.03647,E09000030
51.4524,-0.20021,E09000032
51.512211,-0.15295,E09000033
54.54467,-1.21099,E06000002
54.56752,-1.00608,E06000003
53.33424,-2.68853,E06000006
53.700802,-2.4636,E06000008
53.96582,-1.07375,E06000014
52.954189,-1.16667,E06000018
52.714169,-2.48941,E06000020
53.017071,-2.15888,E06000021
52.59214,-0.26874,E06000031
51.549171,0.706923,E06000033
51.44772,0.563174,E06000035
51.453018,-0.99071,E06000038
51.422958,-0.89935,E06000041
52.072411,-0.7407,E06000042
53.167931,-2.29299,E06000049
51.328831,-1.92661,E06000054
52.196281,-0.45463,E06000055
50.79697,-2.41467,E06000059
53.255749,-1.40115,E07000034
50.773869,0.258516,E07000061
51.735031,0.491177,E07000070
51.898609,-2.07515,E07000078
51.134171,-1.50214,E07000093
51.32251,0.776893,E07000113
53.774059,-2.2308,E07000117
53.672401,-2.61921,E07000118
54.07901,-2.6603,E07000121
53.89991,-2.80359,E07000128
52.577061,-1.19887,E07000129
52.739899,-1.13694,E07000130
53.733269,-1.12908,E07000169
52.972099,-1.25944,E07000172
51.887199,-1.28506,E07000177
51.19186,-2.88246,E07000188
52.696152,-1.76049,E07000194
51.392731,-0.53855,E07000212
51.760872,-0.18518,E07000241
51.905392,-0.18987,E07000243
53.584492,-2.47952,E08000001
53.557678,-2.05274,E08000004
53.60741,-2.14784,E08000005
53.479271,-2.38485,E08000006
53.478668,-2.077,E08000008
53.51445,-2.57247,E08000010
53.482101,-2.99177,E08000014
53.525768,-1.54925,E08000016
53.40358,-1.54254,E08000019
52.41423,-1.51908,E08000026
52.495129,-2.10171,E08000027
52.514771,-2.00771,E08000028
52.431,-1.71558,E08000029
52.60503,-1.97044,E08000030
52.597881,-2.12746,E08000031
53.843819,-1.87389,E08000032
54.931198,-1.6868,E08000037
51.46394,0.050093,E09000011
51.55492,-0.06045,E09000012
51.587711,-0.1067,E09000014
51.357552,-0.17226,E09000029
51.594608,-0.0188,E09000031
53.82164,-3.02199,E06000009
51.577629,-1.73367,E06000030
50.9212,-1.39952,E06000045
52.108051,0.091017,E07000012
54.15731,-3.1999,E07000027
53.028839,-1.46219,E07000032
53.385689,-1.84398,E07000037
51.6717,-0.40429,E07000103
53.797089,-2.91914,E07000119
53.88636,-2.18957,E07000122
53.68478,-2.26149,E07000125
53.726749,-2.72871,E07000126
53.612831,-2.86893,E07000127
52.71283,0.533243,E07000146
51.194759,-2.54178,E07000187
53.069241,-1.99334,E07000198
52.620312,-1.68451,E07000199
50.941769,-0.7163,E07000225
53.391159,-2.12467,E08000007
53.41671,-2.36572,E08000009
53.395531,-1.28651,E08000018
53.659222,-1.42092,E08000036
53.769199,-0.30382,E06000010
53.881119,-0.66195,E06000011
52.081539,-2.73931,E06000019
51.54673,-2.46922,E06000025
50.404942,-4.11297,E06000026
51.445591,-1.27364,E06000037
51.503502,-0.57617,E06000039
50.807999,-1.07006,E06000044
54.685242,-3.2809,E07000026
54.978329,-2.80498,E07000028
52.938202,-1.3509,E07000036
53.16243,-1.44253,E07000038
50.371948,-3.81996,E07000044
50.60981,-3.65289,E07000045
50.948711,0.542937,E07000064
51.590359,0.475055,E07000066
51.641079,0.290091,E07000068
51.561588,0.588084,E07000069
51.935921,0.294485,E07000077
51.846409,-2.23263,E07000081
50.806358,-1.16731,E07000088
51.030022,-1.24393,E07000094
51.211761,1.276887,E07000108
53.822021,-2.71809,E07000123
53.9245,-2.4174,E07000124
53.219212,-0.55848,E07000138
52.84885,-0.49565,E07000141
52.640129,1.284979,E07000148
54.053761,-2.16168,E07000163
54.357609,-1.98552,E07000166
54.200211,-0.84277,E07000167
54.3465,-0.52778,E07000168
53.356041,-0.9787,E07000171
53.024342,-1.11907,E07000173
53.16703,-1.17804,E07000174
51.65443,-1.48543,E07000180
52.70166,-1.98277,E07000192
53.003448,-2.32631,E07000195
52.696918,-2.15495,E07000196
51.235809,-0.04805,E07000215
52.301418,-1.58369,E07000222
50.843208,-0.64999,E07000224
52.285412,-1.9471,E07000236
52.3853,-2.23494,E07000239
51.864849,0.002739,E07000242
53.64233,-1.78085,E08000034
51.458221,0.146212,E09000004
53.58643,-0.52407,E06000013
52.353149,-0.2247,E07000011
54.466171,-3.37664,E07000029
54.29908,-2.78108,E07000031
53.12326,-1.70711,E07000035
50.717819,-3.51368,E07000041
51.812489,-2.47755,E07000080
51.396488,0.398744,E07000109
52.537659,-0.90229,E07000131
52.608768,-1.41755,E07000132
53.264462,0.020516,E07000137
53.40044,-0.50774,E07000142
52.594212,0.818716,E07000143
52.69622,1.252317,E07000144
52.684391,1.64951,E07000145
54.30872,-1.34049,E07000164
53.097469,-1.25422,E07000170
52.21859,1.096953,E07000203
52.161541,-1.63565,E07000221
52.243992,1.456186,E07000244
51.06348,-3.35766,E07000246
50.470921,-3.55523,E06000027
52.62212,-2.73667,E06000051
50.450218,-4.64254,E06000052
50.757599,-3.22359,E07000040
51.5909,0.683442,E07000075
51.720009,-2.30818,E07000082
51.934849,-2.19998,E07000083
51.057652,-0.93971,E07000085
50.872311,-1.00398,E07000090
50.857479,-1.59293,E07000091
51.768452,-0.55098,E07000096
51.433731,0.245276,E07000107
51.235661,0.584061,E07000110
52.479092,-0.5092,E07000152
52.29258,-0.71425,E07000156
52.847919,-2.16475,E07000197
52.05592,1.166145,E07000202
51.227489,-0.30603,E07000210
52.382278,-1.31828,E07000220
52.16758,-2.33089,E07000235
52.308418,0.652769,E07000245
53.52327,-0.13911,E06000012
52.35788,0.283149,E07000009
54.631069,-2.62678,E07000030
52.824902,-1.5348,E07000039
51.76614,0.103888,E07000073
51.856739,1.108981,E07000076
50.948719,-1.32943,E07000086
51.957378,-0.22314,E07000099
51.656319,-0.45005,E07000102
51.130959,0.823374,E07000105
51.102539,0.471632,E07000116
52.588749,-1.093,E07000135
52.51218,1.373233,E07000149
52.437229,-0.76773,E07000153
51.339451,-0.26172,E07000208
52.564838,-1.6242,E07000218
52.361691,-2.00376,E07000234
52.19482,-2.21025,E07000237
52.535439,0.009016,E07000010
50.853882,-1.23742,E07000087
53.080582,-0.4767,E07000139
52.833889,1.132099,E07000147
52.30994,-1.01447,E07000151
50.98399,-2.77588,E07000189
52.83651,-1.81438,E07000193
53.23875,-1.27228,E07000033
51.260639,0.349306,E07000115
52.787579,-0.03057,E07000140
50.845718,-0.32417,E07000223
50.86882,-3.59212,E07000042
50.907391,-4.21728,E07000046
51.774578,0.773106,E07000074
52.7425,-1.42209,E07000134
52.97794,-0.11218,E07000136
52.12886,-2.01614,E07000238
52.667648,-0.6263,E06000017
50.671291,-1.33366,E06000046
51.07621,-3.92691,E07000043
50.66489,-4.03361,E07000047
52.803291,-0.8544,E07000133
52.912399,-1.01097,E07000176
